Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
164.9,170.4,155.0,164.0,164.3,35164283.0,58355.28
167.0,168.7,164.5,167.0,167.0,10464179.0,17448.2
167.75,174.85,166.25,173.6,173.35,11740117.0,20246.22
174.25,179.25,174.25,178.6,177.95,5982324.0,10643.13
200.0,200.0,173.0,176.3,176.2,6173689.0,10920.01
176.45,179.1,175.35,176.9,177.1,3759085.0,6675.7
177.5,178.0,170.65,170.7,172.2,3814181.0,6693.03
165.0,171.9,160.0,167.4,167.4,5375212.0,9011.9
169.0,169.4,163.05,164.0,164.9,3315845.0,5526.65
164.0,169.15,162.1,168.6,167.25,4627992.0,7639.12
170.5,178.0,169.8,175.55,174.7,13262249.0,23147.59
175.9,177.0,172.85,173.65,174.1,4305936.0,7511.53
174.4,175.0,172.1,174.0,173.65,2832967.0,4919.6
188.0,188.0,175.1,179.25,178.85,5415867.0,9640.85
179.95,182.9,179.1,180.2,180.3,5229181.0,9460.96
181.25,184.75,180.1,180.25,181.1,4632246.0,8456.02
181.7,183.65,179.65,181.0,180.85,3562717.0,6479.36
182.0,189.0,178.75,188.4,187.15,8027285.0,14798.84
187.85,198.5,185.0,197.5,197.6,9982429.0,19430.84
199.0,203.45,192.85,193.85,193.6,9651327.0,19124.34
191.5,197.5,189.85,191.75,191.6,7451054.0,14414.35
193.5,196.0,192.25,195.7,195.4,3223676.0,6262.76
197.0,198.9,196.0,197.5,197.15,2530289.0,4993.93
198.1,203.8,196.0,201.8,202.2,5651311.0,11399.27
203.8,212.0,203.5,210.8,210.45,8215213.0,17068.81
213.0,219.5,212.0,218.5,217.8,7839204.0,16922.52
223.0,224.4,215.0,217.75,216.55,6298655.0,13879.96
218.1,221.0,215.4,218.25,216.9,3382031.0,7372.46
219.85,219.9,215.0,215.3,215.65,3080091.0,6665.77
217.4,226.45,217.3,226.0,225.0,6049174.0,13487.0
227.0,228.9,223.3,228.1,227.95,4012069.0,9106.26
228.05,232.8,225.9,229.2,229.3,4436016.0,10178.18
230.0,231.45,216.1,220.5,221.05,4827198.0,10739.24
217.0,235.0,217.0,234.75,232.45,3968069.0,9076.43
235.4,237.6,233.0,233.5,234.3,2267859.0,5335.4
235.75,235.75,226.0,228.1,228.05,3554363.0,8145.4
232.05,238.5,231.5,235.2,235.4,3212067.0,7564.95
236.4,237.0,231.7,237.0,235.55,2478236.0,5818.44
234.85,234.85,224.1,226.1,226.55,3975812.0,9016.02
227.1,231.75,221.0,222.0,222.8,3945233.0,8929.09
223.0,225.7,218.45,221.3,221.55,3682478.0,8162.98
223.9,230.0,222.4,229.3,229.3,2971415.0,6714.27
231.0,233.9,227.15,227.5,228.75,1817991.0,4191.88
230.0,235.0,225.8,228.0,228.2,2034401.0,4637.34
227.75,230.4,225.8,227.25,227.8,1476667.0,3365.46
230.0,230.1,225.0,225.3,225.65,1092801.0,2487.86
228.0,228.5,219.1,221.0,220.35,2496597.0,5550.22
219.0,221.35,207.1,207.8,208.35,3469640.0,7322.54
207.0,210.0,195.1,208.0,208.5,4004037.0,8130.48
212.5,219.5,209.25,215.0,216.05,3800473.0,8152.69
215.9,215.9,203.4,204.0,205.6,2813556.0,5883.14
207.0,210.4,198.8,207.0,205.75,3442717.0,7044.55
206.0,212.8,205.75,212.0,210.7,2575343.0,5400.49
210.3,214.4,208.2,214.4,213.15,1766451.0,3725.74
216.0,221.0,213.1,219.5,219.95,2133208.0,4637.44
220.1,220.1,211.5,214.05,213.7,1916650.0,4144.4
214.4,217.85,213.1,214.5,214.8,2531520.0,5454.06
216.0,229.45,215.15,228.0,227.2,3711837.0,8289.76
230.0,233.35,228.0,232.3,232.55,3594810.0,8315.5
232.0,233.0,227.1,228.1,228.45,2402620.0,5516.53
229.0,235.0,228.9,234.5,234.4,2511914.0,5836.14
236.6,242.35,235.0,241.5,241.3,3094324.0,7426.91
244.0,246.4,236.05,237.25,237.55,2440562.0,5911.17
238.75,245.0,237.1,241.25,240.25,1859277.0,4481.09
240.85,259.75,240.85,259.5,258.05,6993550.0,17726.96
260.65,272.4,259.8,271.75,269.1,3707816.0,9842.25
273.0,280.35,272.0,276.0,276.1,3693070.0,10231.65
278.0,278.6,262.8,266.0,264.9,5123854.0,13812.55
264.9,272.7,261.3,271.7,270.5,3478259.0,9343.6
273.7,281.3,272.5,273.5,276.2,4100489.0,11389.49
280.55,286.4,275.45,281.1,282.3,4126840.0,11660.98
282.0,284.8,273.3,274.0,274.75,2192534.0,6119.89
276.1,279.0,257.0,263.0,261.25,3223848.0,8726.91
263.95,279.0,260.55,264.5,263.7,2569557.0,6822.76
264.5,273.25,261.65,264.0,263.8,3114998.0,8356.28
265.0,291.0,260.0,290.15,285.0,5225375.0,14376.04
294.9,297.7,291.5,293.6,293.75,1888755.0,5562.56
294.9,298.0,281.6,282.9,283.2,5831782.0,16953.18
283.0,291.9,277.8,289.9,286.3,5640636.0,16213.97
291.45,308.3,286.2,306.2,305.0,7996572.0,23706.13
306.5,310.7,302.0,305.1,305.9,7108567.0,21799.19
307.8,324.2,306.5,323.8,322.3,9924397.0,31423.31
324.0,349.5,324.0,347.65,347.6,9820043.0,33361.85
355.0,356.6,345.2,348.25,349.5,7884723.0,27632.54
350.0,350.0,330.1,338.2,336.1,7280790.0,24681.63
340.0,345.7,334.0,336.5,338.45,6122862.0,20758.37
340.9,343.4,331.25,332.25,333.25,4584798.0,15412.65
337.0,345.0,327.1,344.1,341.7,1953978.0,6612.01
343.75,346.85,338.35,340.15,340.7,3262766.0,11167.67
338.05,347.0,338.05,342.0,342.95,3302571.0,11374.03
344.95,356.7,338.0,346.0,346.75,7982920.0,27995.2
346.0,346.5,326.15,329.0,329.3,4834168.0,16338.93
330.0,342.0,325.65,340.65,337.45,1843493.0,6149.11
340.65,353.5,337.0,352.2,350.0,4081415.0,14076.77
353.0,354.4,340.0,344.0,344.05,4672908.0,16209.34
346.0,346.0,329.0,330.6,330.6,4672785.0,15688.86
331.95,339.05,321.0,322.6,323.05,5484243.0,18202.45
324.0,327.0,314.1,324.2,324.05,8100784.0,25930.44
328.7,333.0,324.0,327.0,327.25,5287524.0,17390.42
330.55,338.5,328.65,338.0,337.3,5021011.0,16730.51
340.0,347.0,338.4,340.0,340.7,5069219.0,17420.21
343.4,352.0,342.15,345.4,344.6,3606119.0,12433.6
347.25,357.8,346.85,356.55,356.05,4405346.0,15621.68
365.0,367.0,348.1,355.4,353.5,4496428.0,15885.78
356.4,363.9,354.0,356.45,357.9,3993295.0,14359.17
358.25,364.8,355.25,364.05,362.4,4952879.0,17897.58
364.6,367.0,352.2,354.35,354.2,3310018.0,11928.66
356.0,362.0,347.65,360.0,355.3,2681496.0,9447.3
360.0,370.5,356.2,369.9,366.4,2685187.0,9727.96
368.5,372.35,363.25,368.95,366.65,3588806.0,13213.43
370.0,370.4,362.0,363.55,364.4,2250383.0,8216.18
366.7,367.0,357.0,364.0,363.5,3012320.0,10878.39
364.5,366.8,358.5,360.05,360.75,2126368.0,7718.43
361.5,361.5,353.1,356.6,357.3,2089553.0,7460.85
357.0,363.7,355.15,356.5,356.95,2851693.0,10255.6
359.0,365.35,355.7,363.65,363.6,2281018.0,8238.73
366.45,366.85,357.65,357.75,359.35,2514435.0,9094.68
359.0,361.8,356.2,357.4,358.0,2007570.0,7206.67
362.0,375.05,357.5,358.75,358.85,2799280.0,10131.9
360.5,362.9,353.55,354.4,355.3,3127028.0,11190.39
360.9,370.95,357.0,370.0,369.3,3181691.0,11626.76
371.0,384.0,371.0,382.9,382.75,3242665.0,12313.96
386.9,386.9,367.5,371.3,371.2,2283787.0,8606.73
373.7,379.0,368.3,377.0,375.2,2088465.0,7839.31
378.0,381.45,374.1,375.45,374.95,2154224.0,8121.3
377.7,385.7,377.2,381.25,380.4,2620056.0,10011.56
383.0,390.4,379.0,379.15,380.35,2978921.0,11432.94
380.05,384.7,365.6,368.0,370.05,1485287.0,5607.07
372.7,385.0,364.5,384.1,382.05,2860924.0,10658.04
386.2,404.95,386.2,398.1,400.35,3536049.0,13932.88
410.0,448.0,406.0,437.6,439.7,7713917.0,32849.28
439.1,445.9,415.85,419.0,418.95,2832076.0,12105.5
420.0,428.0,406.7,422.25,423.35,4974616.0,20786.54
425.0,437.9,425.0,432.7,434.2,3261830.0,14146.91
454.65,454.65,427.4,428.4,431.1,5989636.0,26508.57
434.8,440.0,397.0,402.0,401.15,6106161.0,25630.7
402.1,430.85,391.5,422.05,424.4,7850768.0,32325.07
428.8,431.4,400.05,402.8,405.55,7225533.0,30129.71
406.0,413.9,375.0,383.0,381.7,6790202.0,27080.6
379.0,399.4,366.6,369.0,371.4,7530811.0,28830.25
377.0,420.0,374.5,418.6,415.45,9635197.0,37845.58
424.7,437.8,341.1,433.0,431.35,7134689.0,30675.21
436.9,438.8,413.6,419.55,418.7,9705337.0,41250.92
420.0,441.5,414.35,437.0,433.8,10131822.0,43365.1
400.1,444.7,400.1,433.2,431.75,8149375.0,35748.05
435.95,442.0,400.55,408.15,406.45,7114870.0,30154.78
410.0,446.0,410.0,445.15,442.55,8958172.0,38376.26
441.0,453.0,427.0,440.0,433.5,9798958.0,43283.69
438.5,450.7,433.75,450.7,448.65,6807818.0,30043.2
445.0,469.9,445.0,469.9,465.65,6506722.0,29753.65
466.1,469.0,452.1,463.0,460.65,6839293.0,31478.92
463.1,475.85,461.0,474.0,473.85,5367067.0,25098.31
474.05,483.8,471.0,480.3,480.65,6110771.0,29130.31
481.5,500.8,474.7,499.0,494.3,6094853.0,29519.06
497.0,522.9,493.5,516.35,519.45,9885540.0,50652.92
517.0,517.9,502.0,509.7,510.95,9302625.0,47419.17
514.25,523.9,513.0,518.0,518.2,6772064.0,35190.5
518.0,518.15,497.15,499.0,500.0,8116787.0,41123.7
494.0,519.5,487.5,516.2,512.45,12516219.0,63380.76
519.85,521.9,491.15,491.8,494.85,8584140.0,43761.68
493.9,505.3,485.55,499.9,501.0,13355180.0,66473.63
501.9,501.95,484.1,485.9,488.05,8753414.0,43137.4
492.7,504.5,488.5,499.0,495.6,7344301.0,36587.59
588.0,588.0,490.35,501.9,500.05,8059826.0,40080.87
502.15,516.0,502.15,514.8,514.55,6091013.0,31013.72
517.0,531.65,513.6,529.4,529.3,7811331.0,40898.37
531.0,534.4,517.05,521.4,521.4,6959165.0,36613.72
522.15,531.7,522.0,527.75,529.5,4740249.0,25018.15
531.2,533.85,523.05,524.5,524.85,4088518.0,21602.61
431.0,527.7,431.0,514.8,516.6,4955913.0,25589.06
513.5,516.5,470.1,508.5,509.2,5672162.0,28914.88
504.0,510.9,502.0,505.0,505.25,5651181.0,28598.69
501.8,509.9,491.1,509.0,507.05,5903578.0,29456.92
511.0,515.5,472.0,473.0,483.8,5652422.0,28069.12
474.9,489.0,468.1,476.0,478.1,6944864.0,33167.72
480.05,487.5,476.2,483.8,483.4,4505236.0,21734.05
487.0,488.0,477.1,480.9,480.55,4838602.0,23309.01
480.25,485.0,466.95,471.3,471.75,6065423.0,28694.98
469.0,477.5,440.2,444.0,443.3,4941516.0,22434.79
444.9,458.4,436.65,447.2,448.7,5931683.0,26570.37
450.0,454.85,442.65,454.2,450.25,3774546.0,16917.57
453.55,490.9,452.9,489.0,478.3,4704378.0,21981.28
478.3,494.0,478.3,485.1,489.4,4100480.0,19991.5
488.4,497.85,479.0,488.8,492.75,3597139.0,17591.99
490.0,494.0,476.0,477.0,478.4,4036926.0,19578.48
477.55,499.4,476.6,496.65,497.45,5163520.0,25356.38
497.0,519.7,496.5,513.9,517.1,4820658.0,24577.38
518.0,525.9,515.05,520.15,521.65,5055782.0,26376.94
522.0,548.7,522.0,548.0,542.4,4707517.0,25333.13
548.45,548.45,531.55,543.0,539.1,4129358.0,22208.09
541.0,545.5,526.55,529.5,531.7,3657128.0,19533.97
530.0,541.85,526.4,538.15,536.0,3870722.0,20703.07
531.55,542.0,526.0,527.0,529.65,1424120.0,7611.84
530.0,537.2,520.55,534.2,534.8,2515205.0,13307.06
534.7,555.0,531.3,546.0,548.1,4140375.0,22666.12
548.4,548.7,539.0,539.5,541.65,1937619.0,10529.82
543.0,544.9,539.55,541.0,540.95,512387.0,2778.92
541.5,554.0,540.15,549.15,549.9,4295230.0,23536.58
549.0,549.7,536.0,540.1,540.6,2451980.0,13263.75
541.05,570.8,538.0,569.0,563.25,4450079.0,24690.02
563.3,593.0,556.05,590.6,588.6,6159916.0,35568.23
